avganncount,avgdeathsperyear
114.0,54
58.0,29
641.0,243
90.0,35
43.0,17
895.0,395
107.0,45
569.0,242
196.0,85
49.0,20
307.0,113
163.0,67
414.0,184
139.0,56
149.0,69
180.0,72
51.0,22
32.0,11
86.0,30
92.0,36
47.0,19
141.0,54
705.0,261
143.0,60
133.0,44
121.0,49
102.0,39
95.0,37
80.0,33
124.0,56
97.0,49
119.0,38
299.0,101
83.0,29
81.0,31
55.0,25
108.0,44
116.0,46
305.0,127
98.0,34
267.0,80
47.0,19
51.0,24
102.0,38
272.0,98
139.0,46
41.0,19
12.0,6
121.0,54
40.0,17
61.0,31
61.0,25
248.0,110
207.0,78
141.0,61
106.0,41
31.0,15
344.0,134
51.0,21
59.0,23
178.0,63
161.0,64
345.0,177
415.0,169
175.0,78
31.0,16
112.0,46
157.0,65
10.0,6
27.0,14
169.0,54
409.0,178
49.0,21
69.0,32
57.0,21
113.0,40
911.0,343
4646.0,1562
326.0,130
734.0,247
1757.0,561
27.0,7
297.0,118
30.0,12
61.0,28
183.0,68
89.0,21
48.0,14
256.0,100
409.0,134
57.0,24
13.0,4
792.0,271
35.0,15
81.0,32
61.0,24
29.0,11
116.0,40
45.0,18
53.0,20
122.0,47
81.0,28
97.0,41
88.0,30
92.0,31
777.0,291
134.0,50
55.0,20
33.0,12
22.0,7
74.0,22
92.0,39
245.0,102
19.0,8
56.0,19
120.0,45
30.0,9
95.0,44
25.0,8
399.0,144
54.0,18
72.0,28
403.0,158
44.0,20
104.0,39
245.0,87
37.0,12
229.0,87
35.0,12
115.0,50
74.0,33
781.0,267
245.0,95
100.0,45
97.0,37
210.0,78
267.0,108
24965.0,9445
139.0,52
69.0,30
437.0,155
109.0,43
114.0,44
4427.0,1457
118.0,48
48.0,19
748.0,187
140.0,58
3906.0,1311
156.0,51
18.0,9
432.0,168
266.0,105
124.0,58
115.0,43
2732.0,808
244.0,94
844.0,270
43.0,20
162.0,69
160.0,51
146.0,61
62.0,24
825.0,280
576.0,225
50.0,23
303.0,124
73.0,25
68.0,29
93.0,44
41.0,22
46.0,20
150.0,50
103.0,42
43.0,20
253.0,98
132.0,44
185.0,65
42.0,21
41.0,20
457.0,167
169.0,50
116.0,53
69.0,28
74.0,34
168.0,71
39.0,17
125.0,49
36.0,17
131.0,46
145.0,45
43.0,15
106.0,39
176.0,77
947.0,362
431.0,161
157.0,45
81.0,27
542.0,173
135.0,60
196.0,68
100.0,48
90.0,41
51.0,20
129.0,55
20.0,10
114.0,44
38.0,13
903.0,392
373.0,131
19.0,8
82.0,39
56.0,23
361.0,139
158.0,70
35.0,15
158.0,63
1962.667684,19
1962.667684,100
1962.667684,65
1962.667684,83
1962.667684,111
1962.667684,76
1962.667684,33
1962.667684,82
1962.667684,98
1962.667684,23
1962.667684,11
1962.667684,32
1962.667684,160
1962.667684,571
1962.667684,32
1962.667684,91
1962.667684,40
1962.667684,50
1962.667684,84
1962.667684,106
1962.667684,17
1962.667684,1854
1962.667684,40
1962.667684,51
1962.667684,72
1962.667684,123
1962.667684,22
1962.667684,35
1962.667684,85
1962.667684,14
1962.667684,37
1962.667684,20
1962.667684,32
1962.667684,11
1962.667684,56
1962.667684,17
1962.667684,49
1962.667684,81
1962.667684,15
1962.667684,22
1962.667684,58
1962.667684,48
1962.667684,63
1962.667684,74
1962.667684,88
1962.667684,25
1962.667684,47
1962.667684,40
1962.667684,19
1962.667684,224
1962.667684,148
1962.667684,31
1962.667684,63
1962.667684,26
1962.667684,78
1962.667684,28
1962.667684,903
1962.667684,9
1962.667684,46
1962.667684,42
1962.667684,114
1962.667684,23
1962.667684,30
1962.667684,493
1962.667684,148
1962.667684,119
1962.667684,37
1962.667684,239
1962.667684,65
1962.667684,20
1962.667684,27
1962.667684,49
1962.667684,10
1962.667684,48
1962.667684,41
1962.667684,40
1962.667684,347
1962.667684,28
1962.667684,12
1962.667684,98
1962.667684,174
1962.667684,25
194.0,89
201.0,87
78.0,33
104.0,52
38.0,22
173.0,87
98.0,43
57.0,28
106.0,40
38.0,18
43.0,18
100.0,41
104.0,47
120.0,70
169.0,65
107.0,48
646.0,281
378.0,152
88.0,40
4320.0,1623
244.0,91
139.0,69
788.0,311
87.0,41
209.0,85
86.0,35
345.0,138
98.0,49
48.0,25
76.0,36
156.0,67
81.0,39
152.0,59
78.0,30
175.0,68
63.0,27
409.0,150
107.0,51
65.0,28
423.0,164
81.0,31
110.0,44
221.0,85
71.0,36
121.0,53
147.0,60
43.0,19
143.0,57
63.0,28
74.0,33
152.0,61
77.0,36
190.0,85
252.0,85
49.0,23
153.0,65
301.0,85
67.0,21
31.0,16
81.0,31
192.0,93
400.0,182
91.0,40
418.0,178
17.0,9
110.0,47
125.0,54
110.0,52
215.0,72
219.0,69
114.0,46
92.0,30
157.0,64
63.0,25
94.0,44
53.0,22
77.0,33
522.0,208
66.0,27
128.0,55
83.0,36
217.0,96
50.0,23
142.0,53
323.0,151
123.0,54
455.0,151
120.0,51
242.0,111
178.0,75
18.0,7
886.0,291
33.0,13
2864.0,853
175.0,78
220.0,89
494.0,181
89.0,35
555.0,199
71.0,28
113.0,47
83.0,47
124.0,45
130.0,64
2841.0,914
110.0,47
57.0,21
486.0,187
519.0,185
65.0,28
19.0,5
230.0,87
116.0,47
111.0,52
54.0,24
163.0,71
554.0,168
296.0,124
100.0,43
108.0,64
81.0,36
32.0,15
48.0,24
21.0,6
212.0,86
85.0,26
281.0,114
94.0,43
529.0,238
94.0,40
796.0,333
58.0,25
80.0,41
95.0,32
135.0,54
236.0,101
114.0,50
130.0,60
33.0,12
198.0,78
191.0,73
48.0,23
505.0,199
284.0,116
44.0,22
1258.0,473
24.0,9
144.0,62
396.0,141
291.0,120
482.0,219
411.0,143
67.0,28
109.0,53
1549.0,578
122.0,52
191.0,81
473.0,213
2134.0,925
126.0,54
62.0,22
1023.0,442
653.0,258
70.0,30
110.0,48
153.0,62
139.0,56
280.0,121
408.0,168
875.0,288
70.0,35
452.0,191
248.0,111
875.0,327
429.0,199
95.0,44
70.0,32
148.0,67
8.0,3
1085.0,352
37.0,20
654.0,267
16.0,7
307.0,105
13.0,4
119.0,41
266.0,96
63.0,25
43.0,15
357.0,127
34.0,17
26.0,12
228.0,95
20.0,9
28.0,13
27.0,11
36.0,13
27.0,11
186.0,95
583.0,267
399.0,130
290.0,147
137.0,60
158.0,69
32.0,14
129.0,54
15470.0,5780
1424.0,672
370.0,167
4415.0,1916
1342.0,558
149.0,68
1373.0,595
752.0,291
383.0,155
101.0,49
1691.0,648
105.0,47
349.0,162
396.0,160
386.0,164
113.0,55
1195.0,468
77.0,27
177.0,77
161.0,73
198.0,89
493.0,182
506.0,215
609.0,216
1591.0,629
94.0,40
1456.0,579
543.0,213
176.0,79
183.0,95
1030.0,421
18.0,7
98.0,40
13.0,6
38.0,16
110.0,45
181.0,74
31.0,13
58.0,26
54.0,24
24.0,10
46.0,21
133.0,56
14.0,7
48.0,22
116.0,41
42.0,17
25.0,8
25.0,10
23.0,9
29.0,11
61.0,25
17.0,6
45.0,16
37.0,13
16.0,6
29.0,12
19.0,8
18.0,5
101.0,33
49.0,18
10.0,5
14.0,6
45.0,15
65.0,26
118.0,55
155.0,46
20.0,6
33.0,17
13.0,5
27.0,14
109.0,40
11.0,5
15.0,8
840.0,312
32.0,14
494.0,187
20.0,11
18.0,8
47.0,25
17.0,5
38.0,17
21.0,6
8.0,4
25.0,13
34.0,15
51.0,20
86.0,29
35.0,15
114.0,41
498.0,206
224.0,89
127.0,58
74.0,28
769.0,276
524.0,211
263.0,118
83.0,37
181.0,81
309.0,152
214.0,90
78.0,36
211.0,89
50.0,26
222.0,106
301.0,128
77.0,34
455.0,183
208.0,77
130.0,48
91.0,40
272.0,119
250.0,100
41.0,18
87.0,37
258.0,93
61.0,29
128.0,50
28.0,13
47.0,21
326.0,130
202.0,81
264.0,101
63.0,23
259.0,99
124.0,52
150.0,62
82.0,29
2075.0,706
612.0,246
413.0,128
335.0,137
3142.0,1046
742.0,291
96.0,38
219.0,90
249.0,90
187.0,76
160.0,65
1404.0,502
732.0,260
771.0,291
310.0,122
1528.0,608
271.0,117
88.0,32
108.0,44
100.0,37
80.0,32
104.0,42
190.0,62
193.0,86
221.0,89
88.0,38
281.0,112
1072.0,420
136.0,49
109.0,37
104.0,43
27.0,12
44.0,17
40.0,17
197.0,77
113.0,42
878.0,340
1407.0,556
167.0,67
1177.0,436
48.0,23
32.0,13
142.0,54
41.0,16
267.0,127
847.0,331
122.0,51
529.0,217
82.0,33
102.0,41
98.0,33
109.0,45
110.0,54
367.0,156
2947.0,1007
414.0,179
1551.0,658
215.0,80
162.0,63
1590.0,629
390.0,164
44.0,19
85.0,34
254.0,110
91.0,40
103.0,43
191.0,89
569.0,232
154.0,62
167.0,76
59.0,24
149.0,64
249.0,110
130.0,57
213.0,87
634.0,255
212.0,91
891.0,350
138.0,70
395.0,149
544.0,201
61.0,25
138.0,50
113.0,41
72.0,27
51.0,20
70.0,28
84.0,29
70.0,29
94.0,36
78.0,30
122.0,49
95.0,38
122.0,49
60.0,24
60.0,21
57.0,19
99.0,38
146.0,54
221.0,91
90.0,37
511.0,163
123.0,46
67.0,28
111.0,36
241.0,92
1082.0,396
66.0,21
56.0,27
70.0,24
79.0,33
133.0,56
191.0,76
239.0,99
88.0,34
67.0,25
71.0,27
53.0,24
74.0,26
232.0,84
97.0,41
39.0,17
116.0,44
60.0,25
146.0,53
48.0,18
2000.0,778
530.0,204
100.0,43
37.0,17
73.0,32
913.0,346
80.0,29
160.0,57
340.0,117
119.0,46
46.0,19
73.0,31
50.0,21
231.0,86
254.0,89
135.0,49
38.0,16
234.0,86
67.0,27
113.0,40
509.0,197
49.0,16
87.0,34
1962.667684,36
1962.667684,22
1962.667684,37
1962.667684,15
1962.667684,67
1962.667684,34
1962.667684,26
1962.667684,126
1962.667684,8
1962.667684,13
1962.667684,9
1962.667684,6
1962.667684,24
1962.667684,27
1962.667684,22
1962.667684,7
1962.667684,85
1962.667684,13
1962.667684,52
1962.667684,16
1962.667684,138
1962.667684,9
1962.667684,12
1962.667684,48
1962.667684,15
1962.667684,43
1962.667684,46
1962.667684,52
1962.667684,48
