incidencerate,medincome
441.1,58127
419.8,45559
424.4,38752
441.6,43618
385.4,40680
443.0,45261
500.3,36645
384.2,40442
424.5,46346
313.0,55918
342.0,37933
367.2,41437
424.9,43377
444.5,51003
472.7,39984
375.6,50589
481.0,44065
439.7,39444
434.6,40386
444.5,37911
473.6,37486
483.4,39232
365.2,33707
368.2,41652
398.7,44188
417.6,32662
529.5,33091
453.1,46185
461.5,40047
457.4,58976
472.0,49949
431.6,37581
430.9,36895
449.5,48128
412.0,39908
463.2,41891
468.8,53804
497.9,37597
470.4,47937
334.0,34863
433.8,35345
488.3,35363
287.4,40165
517.2,42088
405.5,38023
421.8,37360
476.9,30661
409.2,47158
422.7,41376
510.0,42105
425.7,36867
438.4,34631
296.0,45448
425.0,42956
341.6,29415
433.1,51958
389.4,31025
380.6,32120
437.7,50548
467.3,40038
423.3,40710
500.7,44408
425.1,70874
413.5,38344
521.6,47227
451.6,34684
369.8,51738
469.5,41346
472.9,51986
394.3,31820
455.0,30019
465.2,74220
372.7,33986
364.9,46874
513.8,40376
488.5,60093
445.9,41112
368.6,34644
329.9,38281
492.2,40532
381.0,27382
476.5,42498
439.5,38329
379.3,40642
425.4,36642
432.8,35731
385.3,33755
417.0,40267
453.4,52959
422.2,34581
520.2,30721
454.2,41561
347.7,38802
479.9,31600
485.1,35681
420.2,41602
422.9,38871
484.6,35740
358.7,49758
411.7,47520
453.7,42903
421.9,41004
444.0,47376
494.3,50540
426.1,38178
511.4,59102
516.8,47351
416.6,51569
477.0,33428
524.5,37316
348.1,47902
485.1,43509
445.4,61575
507.5,43272
520.6,46926
478.7,43104
511.8,94334
435.2,56866
536.3,59925
514.4,70299
502.0,83162
498.7,43518
508.7,71885
482.8,56508
468.2,48718
510.4,48135
494.3,49809
467.1,46849
528.0,85886
474.3,48908
503.6,52195
479.8,51880
477.4,56718
511.3,54585
534.1,47547
506.7,49191
486.7,83152
577.4,53783
495.3,48368
469.1,41296
457.3,43043
452.5,35266
431.1,32508
464.7,36488
421.7,37131
524.2,40357
430.4,31217
381.2,33521
419.2,47387
475.7,47296
493.0,39275
499.6,55250
453.4,38653
417.4,61730
501.8,48824
487.1,42730
444.3,45080
427.6,56797
457.2,34620
437.7,38887
463.1,37072
481.6,39444
417.5,34321
457.8,43972
450.8,42582
400.5,58024
442.5,54642
488.6,43346
491.1,47592
410.9,34109
446.1,31615
490.7,45944
472.1,48166
482.3,42056
370.9,48413
405.8,33824
519.2,49342
440.8,37263
500.9,44828
472.6,31674
468.2,45380
453.4,42812
468.0,47286
434.1,30056
424.7,44175
521.3,28341
435.0,38338
562.7,29067
524.8,43390
490.6,38544
343.2,30556
549.3,30333
496.0,48552
528.5,35878
550.3,30127
512.2,49400
495.8,30671
516.0,45483
516.6,43647
513.7,46226
502.7,39247
544.2,35726
435.4,33640
531.3,42452
417.3,50358
512.4,50407
504.8,26351
500.9,41406
519.5,38038
477.1,43040
564.5,43799
429.2,41588
492.4,42477
447.9,45168
396.8,54086
469.1,44762
427.8,46466
487.6,40234
445.0,41077
397.9,89861
456.4,68334
438.5,56787
455.2,70358
468.4,41955
422.9,47433
466.3,49832
489.6,48368
474.1,55190
484.2,38663
453.4,45964
479.5,43783
430.4,58833
487.1,44077
447.8,54068
405.3,52003
478.8,50774
476.0,46243
466.2,45232
468.7,44730
448.5,42700
448.8,52508
527.7,48381
424.4,41065
428.7,43841
420.0,46945
490.3,54849
427.8,51285
416.9,50997
535.7,51403
475.2,39572
494.2,46001
425.0,42056
451.1,44623
412.1,47217
476.7,63030
450.8,59975
463.7,43770
444.2,49467
497.2,41577
452.9,52491
480.1,47418
459.6,46388
475.7,41649
484.7,54831
441.7,54468
493.9,43740
406.2,50078
442.8,43933
475.0,47606
452.2,46276
425.7,55008
479.0,47410
431.1,42622
504.9,44388
482.0,41260
452.3,45151
456.2,55925
449.0,65793
511.2,43573
477.6,40929
412.6,51182
460.9,50731
461.3,59266
440.7,48216
533.1,51929
428.5,45229
489.7,40422
477.8,50014
445.9,61931
488.7,51331
434.9,54186
430.9,62438
482.7,55781
426.3,50719
444.5,52273
528.1,49456
443.1,52367
470.8,46159
500.8,61423
493.5,49569
438.1,52894
467.7,50788
457.8,45413
477.7,51514
456.7,49018
483.1,48528
461.2,50370
438.9,79173
427.3,46750
458.3,36742
451.7,55958
508.3,45292
528.4,56551
443.8,33370
464.8,28716
482.0,34010
381.3,32815
326.4,29244
529.5,34604
463.0,36973
493.1,36303
467.9,34008
550.7,39453
404.5,32536
483.7,41141
486.8,32171
490.1,36886
471.7,40667
480.2,34867
420.9,39078
472.9,52082
405.3,34288
397.1,31623
463.6,36137
482.8,41093
295.7,33893
340.7,30264
469.0,42126
415.7,43731
451.7,32722
481.7,32042
463.9,34512
434.6,40382
402.7,51887
425.2,73985
392.2,58883
418.3,64916
469.0,57908
431.7,40777
378.7,44324
363.9,45504
468.9,46277
422.8,47292
380.7,63490
507.4,50874
454.1,45193
420.4,51440
394.4,42720
351.1,42907
458.6,43489
431.8,55770
345.3,45078
439.7,41304
447.3,42704
498.1,45049
360.0,50545
383.5,45578
533.0,41688
460.6,44669
375.5,39551
402.5,52428
441.3,46513
475.2,49061
395.9,43482
435.5,37869
538.6,39918
460.0,44046
376.2,36065
405.3,46332
466.9,46214
349.5,46503
446.4,38478
457.5,45533
385.5,48048
497.6,36577
376.2,57644
471.4,44236
410.8,49380
481.0,35955
467.4,46061
398.4,30699
492.1,49886
447.8,58792
520.2,50225
486.3,52138
493.0,49689
502.6,50750
448.2,46289
450.2,47966
535.2,46870
467.0,50645
521.0,45709
475.8,60556
464.1,41319
470.8,55058
536.7,45889
489.0,49567
485.5,56536
512.9,55193
475.1,52526
461.9,80037
461.5,45485
517.6,46894
480.8,86413
493.5,38055
476.5,55516
408.2,40010
488.4,39643
449.1,46737
478.8,43880
434.1,35237
464.0,42823
439.6,59858
477.0,40994
482.4,52238
349.7,26309
500.5,40387
417.0,66249
425.6,38564
475.7,41348
477.6,60388
437.6,53027
434.9,35955
493.1,51931
476.7,41818
411.6,35235
461.6,30835
409.5,30678
384.8,29818
472.1,51749
506.7,40339
429.4,37113
451.7,35807
520.4,64533
425.5,41682
383.2,39484
366.5,43193
485.0,38887
536.1,44653
467.6,37413
351.3,37603
460.3,29430
534.0,45557
373.2,36055
456.9,37243
450.6,35276
511.7,32711
461.6,53542
437.0,36436
471.5,50295
453.0,40976
504.8,41783
476.0,48058
465.6,80631
455.9,46840
495.4,63964
487.9,40550
512.6,51047
469.3,40526
472.0,50395
341.5,36128
438.7,42125
527.2,29477
466.6,38449
374.8,25807
453.5,36012
437.7,48287
358.0,39601
475.8,34012
446.2,37672
511.1,35555
476.6,36870
512.8,27635
460.0,34017
453.5494221,46495
453.5494221,49513
453.5494221,52272
453.5494221,53291
453.5494221,88500
453.5494221,45179
453.5494221,51274
453.5494221,75122
453.5494221,55560
453.5494221,43674
453.5494221,48593
453.5494221,48176
453.5494221,50162
453.5494221,76269
453.5494221,68777
453.5494221,52298
453.5494221,48163
453.5494221,52444
453.5494221,47203
453.5494221,60869
453.5494221,48179
453.5494221,64490
453.5494221,59900
453.5494221,47944
453.5494221,65342
453.5494221,48525
453.5494221,53700
453.5494221,48908
453.5494221,57405
453.5494221,50372
453.5494221,44113
453.5494221,48245
453.5494221,52381
453.5494221,44727
453.5494221,61665
453.5494221,48449
453.5494221,53552
453.5494221,60114
453.5494221,39926
453.5494221,54433
453.5494221,52042
453.5494221,54354
453.5494221,48434
453.5494221,50685
453.5494221,47537
453.5494221,52219
453.5494221,61279
453.5494221,50684
453.5494221,51597
453.5494221,69430
453.5494221,51510
453.5494221,50905
453.5494221,42157
453.5494221,47164
453.5494221,50175
453.5494221,51343
453.5494221,55070
453.5494221,48188
453.5494221,49934
453.5494221,54386
453.5494221,60317
453.5494221,55352
453.5494221,53838
453.5494221,49714
453.5494221,91688
453.5494221,76512
453.5494221,59893
453.5494221,55832
453.5494221,57850
453.5494221,55292
453.5494221,51032
453.5494221,43287
453.5494221,49536
453.5494221,58752
453.5494221,41909
453.5494221,54183
453.5494221,84113
453.5494221,48658
453.5494221,54536
453.5494221,49365
453.5494221,76489
453.5494221,51028
470.0,32327
441.3,35180
425.1,30668
423.0,32521
355.2,30665
476.3,29297
527.3,33141
401.5,38219
521.3,31616
339.0,34548
432.6,26083
466.5,34910
427.7,33939
460.1,28647
513.2,35314
461.3,31835
428.8,58479
526.5,36808
561.4,29090
519.9,48264
500.6,51227
507.4,34271
487.0,54728
457.3,27709
560.5,26048
505.2,40312
531.7,34678
524.8,32835
528.6,25473
558.3,27777
527.4,28574
492.5,30217
523.1,35368
578.6,42892
538.0,41150
482.7,43067
484.1,41216
547.8,24265
525.3,42288
523.5,44358
554.7,29421
510.2,39089
496.5,45596
529.6,27484
578.9,40260
538.4,52377
548.3,30828
536.1,43945
492.1,30460
511.5,30172
518.9,41139
498.8,30872
472.0,38916
551.5,54540
552.9,37061
533.6,38261
519.6,92097
514.8,43626
493.7,23047
497.1,47023
579.2,31265
518.3,32666
630.4,32783
523.2,32767
530.3,37281
524.4,33789
540.5,37287
471.5,33623
507.3,61989
486.6,57447
563.4,45269
530.2,67437
524.1,34633
453.4,40002
462.8,44676
540.3,46708
457.7,44119
483.8,48925
463.0,39983
480.4,30619
508.3,43024
531.3,31086
570.6,25768
485.2,57067
492.7,40269
450.0,36852
484.5,67299
450.6,46317
501.8,34022
463.7,43918
405.8,27512
452.9,42985
442.3,31577
470.3,66970
418.6,33125
463.3,33509
409.8,68067
483.1,32408
453.6,60809
468.9,43111
408.9,31176
423.9,42953
473.3,57491
407.8,33968
462.8,50597
448.2,32293
337.1,31103
501.8,32150
462.3,54581
476.1,34906
538.1,34444
492.0,61195
454.2,35351
438.2,30119
444.5,33293
448.7,37813
455.4,79069
409.2,46867
491.6,34553
356.3,36482
388.5,36642
403.2,31740
378.7,34201
488.4,43115
445.9,37008
433.0,46018
457.7,49698
471.1,31081
449.5,41324
426.9,35078
480.8,36014
393.3,40454
411.4,36865
469.0,32903
490.5,66556
418.9,36315
470.4,35055
508.7,41505
488.6,30760
487.4,41574
440.7,51793
372.4,31829
481.0,43442
397.6,50728
331.3,34312
455.8,50154
510.8,45933
471.1,34830
461.8,31487
429.9,45567
406.9,41256
456.5,51175
507.2,30675
442.6,28518
437.1,58833
458.4,32977
460.0,37707
437.9,36536
475.8,42943
444.1,34733
488.8,26580
438.8,43054
472.8,45082
555.6,27403
424.5,31933
455.1,31844
465.9,36939
494.1,35585
438.3,50571
452.9,69432
433.9,25413
465.9,39999
454.4,36779
479.9,46892
495.0,37245
459.4,41321
500.5,24035
454.6,35528
201.3,68387
453.3,75200
338.2,45808
475.9,41123
409.2,51082
424.4,67801
413.3,67260
390.1,80835
441.4,62532
477.3,57776
416.6,67972
469.3,73981
499.3,47160
501.1,75682
510.7,34116
373.5,65192
298.1,65765
372.9,59641
417.3,73998
475.1,36708
269.9,32366
350.1,45025
348.4,48653
339.2,37677
395.7,46046
432.6,38013
364.5,59416
332.0,32533
401.4,53929
444.9,37704
325.3,35457
379.1,45871
330.9,49876
296.2,37465
389.4,44145
343.0,39700
468.5,38878
422.5,33644
473.8,42830
408.6,37715
474.0,45411
425.8,44854
482.9,38268
497.9,31510
427.2,54098
421.7,38694
445.3,32283
494.7,31170
426.3,42000
476.6,39548
461.3,31382
470.4,41375
455.7,49782
383.0,42286
458.5,44050
474.9,37906
466.2,37501
425.2,29609
448.5,54196
460.2,50896
424.4,49583
399.0,34326
391.4,47987
415.4,52930
405.4,53150
447.1,47224
449.2,41446
464.7,41395
429.4,48024
393.5,43453
423.9,52892
379.3,31420
364.5,51244
476.9,48675
473.4,43305
395.0,51246
555.7,34936
492.4,49251
459.6,57148
515.1,42007
432.0,46633
429.5,52816
521.9,36836
532.8,43699
403.4,53944
348.6,51201
501.1,61945
507.7,58340
430.4,48879
296.6,31922
451.7,48773
577.0,51837
439.7,53175
383.6,45945
404.9,79857
468.1,40639
448.1,57741
284.8,38469
415.7,50155
408.2,54771
486.5,34237
425.6,49159
503.1,55107
403.5,53654
442.5,48379
426.4,39936
411.7,52758
365.5,45911
521.4,46281
388.8,48125
542.1,67172
416.6,59879
414.3,27481
410.9,40545
436.0,55708
518.1,72041
391.7,41831
403.8,47363
499.5,46689
461.5,42252
533.9,34382
459.1,34948
494.2,47175
461.9,43065
491.8,33333
469.4,41068
475.2,36627
409.0,34354
533.3,51475
407.4,40980
515.0,33640
437.1,30744
469.2,30860
472.8,45235
430.1,37853
481.9,40839
506.6,52578
480.9,41268
468.7,50877
509.8,37758
506.5,44435
492.5,41045
488.4,39738
530.2,70092
517.5,49790
468.6,48767
416.4,37331
410.3,50999
494.7,51025
485.8,46895
471.4,34395
494.2,52919
525.6,43073
438.7,52493
421.6,51282
489.6,45773
446.2,72131
490.4,56326
471.5,90640
469.0,38992
463.3,78001
519.9,51205
460.0,41759
484.1,54472
519.0,53918
505.7,54353
465.6,42684
474.4,76856
472.1,60460
551.5,47575
495.6,48544
491.7,54375
533.4,44289
490.6,53732
525.8,46878
479.3,40590
486.6,61388
460.0,54916
487.6,73684
488.1,45288
486.5,46406
459.0,52790
433.2,57126
509.6,52448
498.3,42032
509.9,65971
458.2,39005
392.3,40722
524.5,33943
465.2,62024
472.5,47862
505.5,43396
478.1,48024
488.4,50155
500.1,38329
515.2,55371
459.3,47092
459.2,51584
457.0,48994
482.6,50219
407.6,48569
511.5,60490
506.0,40957
520.2,42036
511.8,49385
459.7,44180
510.8,54683
471.7,46839
502.9,46927
475.2,49895
490.7,75176
492.9,46322
466.6,47708
469.4,70127
432.5,50172
435.7,48651
448.4,54101
414.4,46196
486.2,39563
429.3,68352
426.9,52582
414.4,55318
412.9,44430
466.8,52050
483.9,44385
441.5,49945
452.7,40657
420.7,47670
439.8,59280
433.7,50258
464.7,51911
482.9,39449
429.9,53211
442.7,50192
439.1,40122
474.0,53186
488.1,55320
426.9,47342
467.8,45522
494.0,48292
488.4,51045
487.2,54154
506.1,49125
492.9,61215
437.9,49507
449.8,53691
492.1,57682
487.9,53277
477.6,52824
484.9,50347
465.5,49837
408.5,49696
548.4,53905
463.3,58234
543.5,50299
466.2,52750
423.6,41094
473.8,59946
445.7,51558
466.9,48316
480.0,52967
509.2,44719
474.8,62700
475.6,50924
425.1,42582
478.3,61750
434.2,62230
482.1,48584
471.0,57046
467.0,50244
486.0,59399
426.7,52616
483.2,43178
490.5,44705
482.3,42046
480.5,54441
459.7,55968
432.9,51423
506.9,46927
442.3,50600
467.9,62745
443.6,49625
481.1,61028
492.9,51947
390.3,52791
433.2,42854
456.2,49513
501.4,54959
446.8,55637
427.3,60205
451.8,52128
493.6,54957
475.5,46501
431.6,44905
463.5,42555
516.3,42414
495.8,67342
479.6,56243
398.5,42006
486.3,43490
446.6,50703
431.4,55984
469.7,45641
470.0,50286
453.2,50108
453.5494221,39196
453.5494221,45368
453.5494221,44199
453.5494221,51676
453.5494221,46942
453.5494221,38430
453.5494221,45781
453.5494221,60123
453.5494221,47025
453.5494221,39120
453.5494221,41797
453.5494221,47650
453.5494221,53131
453.5494221,42697
453.5494221,55705
453.5494221,45353
453.5494221,45180
453.5494221,41434
453.5494221,47493
453.5494221,47599
453.5494221,49246
453.5494221,49256
453.5494221,36471
453.5494221,49508
453.5494221,46961
453.5494221,48609
453.5494221,51144
453.5494221,50745
453.5494221,41193
